service_id,first_date,last_date,active_days
B.315,2011-07-09,2011-09-03,9
S.315,2011-07-09,2011-09-03,9
9.316,2011-07-17,2011-08-28,7
C.316,2011-07-17,2011-08-28,7
U.316,2011-07-17,2011-08-28,7
p.316,2011-07-18,2011-09-01,28
7.316,2011-07-18,2011-09-02,35
A.316,2011-07-18,2011-09-02,35
W.316,2011-07-18,2011-09-02,35
P.316,2011-07-22,2011-09-02,7
8.316,2011-07-23,2011-09-03,7
B.316,2011-07-23,2011-09-03,7
S.316,2011-07-23,2011-09-03,7
g.316,2011-08-04,2011-08-16,9
G.316,2011-08-06,2011-08-13,2
i.316,2011-08-07,2011-08-07,1
9.317,2011-08-14,2011-08-28,3
C.317,2011-08-14,2011-08-28,3
U.317,2011-08-14,2011-08-28,3
p.317,2011-08-15,2011-09-01,12
7.317,2011-08-15,2011-09-02,15
A.317,2011-08-15,2011-09-02,15
W.317,2011-08-15,2011-09-02,15
P.317,2011-08-19,2011-09-02,3
8.317,2011-08-20,2011-09-03,3
B.317,2011-08-20,2011-09-03,3
S.317,2011-08-20,2011-09-03,3
9.313,2011-09-04,2011-09-18,3
k.313,2011-09-04,2011-10-30,9
C.313,2011-09-04,2011-11-27,13
U.313,2011-09-04,2011-11-27,13
V.313,2011-09-04,2011-11-27,2
X.313,2011-09-05,2011-11-24,2
7.313,2011-09-06,2011-11-30,61
A.313,2011-09-06,2011-11-30,61
p.313,2011-09-06,2011-11-30,49
W.313,2011-09-06,2011-11-30,61
P.313,2011-09-09,2011-11-25,12
K.313,2011-09-10,2011-10-29,8
8.313,2011-09-10,2011-11-26,12
B.313,2011-09-10,2011-11-26,12
S.313,2011-09-10,2011-11-26,12
9.318,2011-09-18,2011-09-18,1
d.313,2011-09-18,2011-09-18,1
d.318,2011-09-18,2011-09-18,1
k.318,2011-09-18,2011-10-30,7
C.318,2011-09-18,2011-12-11,11
U.318,2011-09-18,2011-12-11,13
7.318,2011-09-19,2011-12-13,61
A.318,2011-09-19,2011-12-13,61
p.318,2011-09-19,2011-12-13,49
W.318,2011-09-19,2011-12-13,61
P.318,2011-09-23,2011-12-09,12
K.318,2011-09-24,2011-10-29,6
8.318,2011-09-24,2011-12-10,12
B.318,2011-09-24,2011-12-10,12
S.318,2011-09-24,2011-12-10,12
c.318,2011-09-25,2011-10-02,2
T.318,2011-09-25,2011-10-02,2
c.320,2011-10-02,2011-10-02,1
T.320,2011-10-02,2011-10-02,1
k.320,2011-10-02,2011-10-30,5
U.320,2011-10-02,2011-11-27,9
p.320,2011-10-03,2011-12-01,35
7.320,2011-10-03,2011-12-02,44
A.320,2011-10-03,2011-12-02,44
W.320,2011-10-03,2011-12-02,44
P.320,2011-10-07,2011-12-02,9
K.320,2011-10-08,2011-10-29,4
8.320,2011-10-08,2011-12-03,9
B.320,2011-10-08,2011-12-03,9
S.320,2011-10-08,2011-12-03,9
C.320,2011-10-09,2011-11-27,8
Z.320,2011-10-10,2011-10-27,14
H.318,2011-10-15,2011-10-22,2
