"ogc_fid","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_id","stop_name","jurisdic","zipcode","frequent"
183,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",850,6809,"NE 15th & Siskiyou","Portland","97212","True"
184,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",900,6800,"NE 15th & Knott","Portland","97212","True"
185,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",950,6778,"NE 15th & Brazee","Portland","97212","True"
186,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1000,6816,"NE 15th & Thompson","Portland","97212","True"
187,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1050,6817,"NE 15th & Tillamook","Portland","97212","True"
188,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1100,6779,"NE 15th & Weidler","Portland","97232","True"
189,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1450,11492,"NE Multnomah & 3rd","Portland","97232","True"
190,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1500,2592,"Rose Quarter Transit Center","Portland","97232","True"
191,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1950,7794,"SW 6th & Sheridan","Portland","97201","True"
192,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2000,5804,"SW Terwilliger & Sam Jackson","Portland","97201","True"
193,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2050,11010,"SW Terwilliger & Campus","Portland","97239","True"
194,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2100,8455,"SW US Veterans Rd & Bldg #16","Portland","97239","True"
195,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2150,5975,"US Veterans Hospital","Portland","97239","True"
196,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2400,5032,"SW Sam Jackson Pk & US Veterans","Portland","97239","True"
197,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2450,5028,"SW Sam Jackson Pk & OHSU","Portland","97239","True"
198,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2500,5027,"SW Sam Jackson Pk & Campus Dr","Portland","97239","True"
199,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2550,871,"SW Campus Dr & Loading Dock 5","Portland","97239","True"
200,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2600,10176,"700 SW Campus Dr at Doernbecher","Portland","97239","True"
201,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2650,868,"SW Campus Dr & OHSU Garage F","Portland","97239","True"
202,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1900,7588,"SW 5th & Broadway","Portland","97201","True"
203,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2700,870,"SW Campus Dr & Terwilliger","Portland","97239","True"
204,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1350,10876,"NE Multnomah & 9th","Portland","97232","True"
