HWYNAME,HWYNUMB,ST_HWY_SFX,RDWY_ID,MLGE_TYP,OVLP_CD,MP,MP_DESC,MP_DISP,LRS_KEY,LRM_KEY,LAT,LONGTD,HRZ_COL_M,CRD_RF_DTM,EFFECTV_DT,GIS_PRC_DT
PACIFIC,001,00,2,0,0,168,MILEPOST 168.00,168.00,000100200S00,00100I00,43.7537277,-123.1381853,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,169.03,MILEPOST 169.00,169.00,000100200S00,00100I00,43.7500124,-123.1185873,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,170.01,MILEPOST 170.00,170.00,000100200S00,00100I00,43.7547284,-123.1004052,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,170.97,MILEPOST 171.00,171.00,000100200S00,00100I00,43.7612902,-123.083425,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,171.99,MILEPOST 172.00,172.00,000100200S00,00100I00,43.7684266,-123.0655202,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,173,MILEPOST 173.00,173.00,000100200S00,00100I00,43.7811735,-123.0562203,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,174.02,MILEPOST 174.00,174.00,000100200S00,00100I00,43.79455,-123.0486066,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,175.01,MILEPOST 175.00,175.00,000100200S00,00100I00,43.8075466,-123.0413519,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,Z,2,46.02,MILEPOST Z46.00,Z46.00,0009001Z2S00,00900IZ2,45.678704,-123.9238839,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,206,MILEPOST 206.00,206.00,000700100S00,00700I00,43.788068,-117.847686,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,208,MILEPOST 208.00,208.00,000700100S00,00700I00,43.7777064,-117.8118583,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,209,MILEPOST 209.00,209.00,000700100S00,00700I00,43.7779434,-117.7934852,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,209.99,MILEPOST 210.00,210.00,000700100S00,00700I00,43.7690121,-117.7901354,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,211,MILEPOST 211.00,211.00,000700100S00,00700I00,43.7639396,-117.7784612,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,212.02,MILEPOST 212.00,212.00,000700100S00,00700I00,43.7673634,-117.7611012,3,NAD 83,2014,07/14/2015
CENTRAL OREGON,007,00,1,0,0,213,MILEPOST 213.00,213.00,000700100S00,00700I00,43.7776834,-117.7500606,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,12,MILEPOST 12.00,12.00,013800100S00,13800I00,43.2939014,-123.1776248,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,4,MILEPOST 4.00,4.00,013800100S00,13800I00,43.2146566,-123.2674518,3,NAD 83,2014,07/14/2015
HILLSBORO-SILVERTON,140,00,1,0,0,22.01,MILEPOST 22.00,22.00,014000100S00,14000I00,45.2882412,-122.9464231,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,1,0,0,374.99,MILEPOST 375.00,375.00,000600100S00,00600I00,44.0436571,-116.970198,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,1,0,0,375.98,MILEPOST 376.00,376.00,000600100S00,00600I00,44.0342501,-116.9553529,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,1,0,0,372,MILEPOST 372.00,372.00,000600100S00,00600I00,44.0767402,-117.0078325,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,1,0,0,373,MILEPOST 373.00,373.00,000600100S00,00600I00,44.0655704,-116.9953624,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,1,0,0,374,MILEPOST 374.00,374.00,000600100S00,00600I00,44.0540634,-116.9834449,3,NAD 83,2014,07/14/2015
MCKENZIE,015,00,1,0,0,32,MILEPOST 32.00,32.00,001500100S00,01500I00,44.1268848,-122.4719427,3,NAD 83,2014,07/14/2015
MCKENZIE,015,00,1,0,0,30,MILEPOST 30.00,30.00,001500100S00,01500I00,44.1334473,-122.5083945,3,NAD 83,2014,07/14/2015
MCKENZIE,015,00,1,0,0,31,MILEPOST 31.00,31.00,001500100S00,01500I00,44.1329766,-122.4889135,3,NAD 83,2014,07/14/2015
MCKENZIE,015,00,1,0,0,24,MILEPOST 24.00,24.00,001500100S00,01500I00,44.1386446,-122.6129861,3,NAD 83,2014,07/14/2015
SILVER CREEK FALLS,163,00,1,0,0,10.99,MILEPOST 11.00,11.00,016300100S00,16300I00,44.8729451,-122.8622709,3,NAD 83,2014,07/14/2015
JEFFERSON,164,00,1,0,0,2,MILEPOST 2.00,2.00,016400100S00,16400I00,44.7712341,-123.0227999,3,NAD 83,2014,07/14/2015
OLDS FERRY-ONTARIO,455,00,1,0,0,25.06,MILEPOST 25.00,25.00,045500100S00,45500I00,44.0499845,-116.9758238,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,2,0,0,375,MILEPOST 375.00,375.00,000600200S00,00600D00,44.0437044,-116.9698451,3,NAD 83,2014,07/14/2015
OLD OREGON TRAIL,006,00,2,0,0,376,MILEPOST 376.00,376.00,000600200S00,00600D00,44.0342452,-116.954862,3,NAD 83,2014,07/14/2015
TUALATIN VALLEY,029,00,1,0,0,20.01,MILEPOST 20.00,20.00,002900100S00,02900I00,45.502069,-123.1161454,3,NAD 83,2014,07/14/2015
TUALATIN VALLEY,029,00,1,0,0,19.01,MILEPOST 19.00,19.00,002900100S00,02900I00,45.5093456,-123.0996255,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,147,MILEPOST 147.00,147.00,000100100S00,00100D00,43.5237158,-123.3120385,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,147.94,MILEPOST 148.00,148.00,000100100S00,00100D00,43.5321167,-123.2986689,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,149.01,MILEPOST 149.00,149.00,000100100S00,00100D00,43.545923,-123.2882164,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,150,MILEPOST 150.00,150.00,000100100S00,00100D00,43.5596085,-123.2822624,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,1,MILEPOST 1.00,1.00,000100200S00,00100I00,42.0189685,-122.6099918,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,1.99,MILEPOST 2.00,2.00,000100200S00,00100I00,42.0318447,-122.6029841,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,6.04,MILEPOST 6.00,6.00,000100200S00,00100I00,42.0821326,-122.5991811,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,139,MILEPOST 139.00,139.00,000100200S00,00100I00,43.4196676,-123.3224375,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,140,MILEPOST 140.00,140.00,000100200S00,00100I00,43.4328454,-123.3156084,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,141.04,MILEPOST 141.00,141.00,000100200S00,00100I00,43.4456661,-123.3215973,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,142,MILEPOST 142.00,142.00,000100200S00,00100I00,43.458779,-123.3230917,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,142.97,MILEPOST 143.00,143.00,000100200S00,00100I00,43.4712978,-123.3159195,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,143.97,MILEPOST 144.00,144.00,000100200S00,00100I00,43.4840696,-123.3249278,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,144.99,MILEPOST 145.00,145.00,000100200S00,00100I00,43.4967319,-123.3258569,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,145.99,MILEPOST 146.00,146.00,000100200S00,00100I00,43.5093876,-123.3164551,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,146.99,MILEPOST 147.00,147.00,000100200S00,00100I00,43.5232871,-123.3119915,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,294.98,MILEPOST 295.00,295.00,000100200S00,00100I00,45.4535417,-122.7223325,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,295.99,MILEPOST 296.00,296.00,000100200S00,00100I00,45.4603549,-122.70447,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,151,MILEPOST 151.00,151.00,000100100S00,00100D00,43.5715408,-123.2714139,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,152,MILEPOST 152.00,152.00,000100100S00,00100D00,43.5827947,-123.2590748,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,153.01,MILEPOST 153.00,153.00,000100100S00,00100D00,43.5936751,-123.2458774,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,154.02,MILEPOST 154.00,154.00,000100100S00,00100D00,43.6026325,-123.2301222,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,155.01,MILEPOST 155.00,155.00,000100100S00,00100D00,43.6127547,-123.217149,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,156,MILEPOST 156.00,156.00,000100100S00,00100D00,43.6262092,-123.2185781,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,157.01,MILEPOST 157.00,157.00,000100100S00,00100D00,43.64031,-123.2154784,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,158.01,MILEPOST 158.00,158.00,000100100S00,00100D00,43.6538725,-123.2082462,3,NAD 83,2014,07/14/2015
ELKTON-SUTHERLIN,231,00,1,0,0,19.99,MILEPOST 20.00,20.00,023100100S00,23100I00,43.4246546,-123.3953133,3,NAD 83,2014,07/14/2015
LAKE OF THE WOODS,270,00,1,0,0,41.95,MILEPOST 42.00,42.00,027000100S00,27000I00,42.4341812,-122.1399415,3,NAD 83,2014,07/14/2015
